Location,Ratio
Belgium,0.42 
Bulgaria,0.27 
Czechia,0.21 
Denmark,0.40 
Germany ,0.32 
Estonia,0.29 
Ireland,0.24 
Greece,0.22 
Spain,0.42 
France,0.37 
Croatia,0.20 
Italy,0.36 
Cyprus,0.18 
Latvia,0.30 
Lithuania,0.24 
Luxembourg,0.28 
Hungary,0.12 
Malta,0.15 
Netherlands,0.35 
Austria,0.39 
Poland,0.28 
Portugal,0.40 
Romania,0.20 
Slovenia,0.22 
Slovakia,0.21 
Finland,0.47 
Sweden,0.48 
Iceland,0.38 
Liechtenstein,0.12 
Norway,0.41 
Switzerland,
United Kingdom,0.30 
Montenegro,0.30 
North Macedonia,0.40 
Albania,0.30 
Serbia,0.38 
Turkey,0.17 
Bosnia and Herzegovina,0.21 
Kosovo,0.33 
European Union - 27 countries (from 2020),0.32 
European Union - 28 countries (2013-2020),0.32 
